date,dataset,id,event,field,old_value,new_value,entity_name_en,entity_name_fr
2026-07-29,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1008310,UPDATED,GC_NM_AB_FR,Cocos (les Îles)/ Keeling (les Îles),Cocos (les Îles)/Keeling (les Îles),Cocos (Keeling) Islands,Cocos (les Îles)/Keeling (les Îles)
2026-07-29,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1017410,UPDATED,GC_NM_AB_FR,îles Heard-et-MacDonald,Îles Heard-et-MacDonald,Heard Island and McDonald Islands,Îles Heard-et-MacDonald
2026-07-29,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1018310,UPDATED,GC_NM_AB_FR,Falkland (les Îles)/Malouines (les Îles,Falkland (les Îles)/Malouines (les Îles),Falkland Islands,Falkland (les Îles)/Malouines (les Îles)
2026-07-31,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1000508,UPDATED,GC_NM_AB_FR,îles Gilbert et Ellice,Îles Gilbert et Ellice,Gilbert and Ellice Islands,Îles Gilbert et Ellice
2026-07-31,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1000509,UPDATED,GC_NM_AB_FR,îles Gilbert,Îles Gilbert2,Gilbert Islands,Îles Gilbert2
2026-07-31,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1011409,UPDATED,GC_NM_OFF_FR,île Niue,Île Niue,Niue Island,Niue
2026-07-31,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024910,UPDATED,STAT_DESC_EN,ACTIVE,INACTIVE,Nauru,Nauru
2026-07-31,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024910,UPDATED,STAT_DESC_FR,ACTIF,INACTIF,Nauru,Nauru
2026-07-31,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024911,ADDED,,,,Naoero,Naoero
2026-08-11,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024911,UPDATED,ISO_ALPHA_3_CD,NRU,NRO,Naoero,Naoero
2026-08-12,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1000508,UPDATED,GC_NM_OFF_FR,lesÎles Gilbert et Ellice,les îles Gilbert et Ellice,Gilbert and Ellice Islands,Îles Gilbert et Ellice
2026-08-12,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1000509,UPDATED,GC_NM_OFF_FR,les Îles Gilbert,les îles Gilbert,Gilbert Islands,Îles Gilbert2
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1000508,UPDATED,MODIF_DT,2023-11-28,2026-08-04,Gilbert and Ellice Islands,Îles Gilbert et Ellice
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1000509,UPDATED,GC_NM_AB_FR,Îles Gilbert2,Îles Gilbert,Gilbert Islands,Îles Gilbert
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1000509,UPDATED,MODIF_DT,2023-11-28,2026-08-04,Gilbert Islands,Îles Gilbert
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1008310,UPDATED,MODIF_DT,2023-11-28,2026-08-04,Cocos (Keeling) Islands,Cocos (les Îles)/Keeling (les Îles)
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1011409,UPDATED,MODIF_DT,2023-11-28,2026-08-04,Niue Island,Niue
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1017409,UPDATED,GC_NM_AB_FR,îles Heard-et-MacDonald,Îles Heard-et-MacDonald,Heard Island and McDonald Islands,Îles Heard-et-MacDonald
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1017409,UPDATED,MODIF_DT,2024-05-15,2026-08-04,Heard Island and McDonald Islands,Îles Heard-et-MacDonald
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1017410,UPDATED,MODIF_DT,2024-05-15,2026-08-04,Heard Island and McDonald Islands,Îles Heard-et-MacDonald
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1018310,UPDATED,GC_NM_OFF_FR,Falkland (les Îles)/Malouines (les Îles,Falkland (les Îles)/Malouines (les Îles),Falkland Islands,Falkland (les Îles)/Malouines (les Îles)
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1018310,UPDATED,MODIF_DT,2023-11-28,2026-08-04,Falkland Islands,Falkland (les Îles)/Malouines (les Îles)
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024910,UPDATED,EFF_FN_DT,2100-01-01,2026-05-12,Nauru,Nauru
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024910,UPDATED,MODIF_DT,2023-11-28,2026-08-04,Nauru,Nauru
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024911,UPDATED,OBSERVATIONS_EN,,"As of this date, ISO 3166 had yet to be updated to change NRU to NRO.",Naoero,Naoero
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024911,UPDATED,OBSERVATIONS_FR,,"À cette date, la norme ISO 3166 n’avait pas encore été mise à jour pour remplacer NRU par NRO.",Naoero,Naoero
2026-09-23,"Data_Reference_Standard_on_Countries,_Territories_and_Geographic_areas",1024911,UPDATED,MODIF_DT,2026-07-30,2026-08-04,Naoero,Naoero
