date,dataset,id,entity_name_en,entity_name_fr,event,field,old_value,new_value
2026-04-14,Organization_Information,2281,Office of the Information Commissioner of Canada,Commissariat à l'information au Canada,UPDATED,abbreviation,,OIC
2026-04-14,Organization_Information,2281,Office of the Information Commissioner of Canada,Commissariat à l'information au Canada,UPDATED,abreviation,,CI
2026-04-14,Organization_Information,2282,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,UPDATED,abbreviation,,OPC
2026-04-14,Organization_Information,2282,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,UPDATED,abreviation,,CPVP
2026-04-14,Organization_Information,2287,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada,UPDATED,abbreviation,,SCC
2026-04-14,Organization_Information,2287,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada,UPDATED,abreviation,,CSC
2026-04-14,Organization_Information,2296,Leaders’ Debates Commission,Commission des débats des chefs,UPDATED,abbreviation,,LDC
2026-04-14,Organization_Information,2296,Leaders’ Debates Commission,Commission des débats des chefs,UPDATED,abreviation,,LDC
2026-06-10,Organization_Information,2270,UPDATED,legal_title,Office of the Auditor General,Office of the Auditor General of Canada,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2026-06-10,Organization_Information,2270,UPDATED,appellation_legale,Bureau du vérificateur général,Bureau du vérificateur général du Canada,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2026-06-10,Organization_Information,2270,UPDATED,preferred_name,Office of the Auditor General of Canada,,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2026-06-10,Organization_Information,2270,UPDATED,nom_prefere,Bureau du vérificateur général du Canada,,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2026-06-10,Organization_Information,2270,UPDATED,abbreviation,OAG,,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2026-06-10,Organization_Information,2270,UPDATED,abreviation,BVG,,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2026-06-10,Organization_Information,2270,UPDATED,FAA_LGFP,1.1,,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2026-06-10,Organization_Information,2281,UPDATED,harmonized_name,Office of the Information Commissioner of Canada,,,
2026-06-10,Organization_Information,2281,UPDATED,nom_harmonise,Commissariat à l'information au Canada,,,
2026-06-10,Organization_Information,2281,UPDATED,legal_title,Office of the Information Commissioner of Canada,Office of the Information Commissioner,,
2026-06-10,Organization_Information,2281,UPDATED,appellation_legale,Commissariat à l'information au Canada,,,
2026-06-10,Organization_Information,2281,UPDATED,lead_department,Department of Justice Canada,,,
2026-06-10,Organization_Information,2281,UPDATED,ministere_responsable,Ministère de la Justice Canada,,,
2026-06-10,Organization_Information,2281,UPDATED,FAA_LGFP,,4.0,,
2026-06-10,Organization_Information,2281,UPDATED,status_statut,a,,,
2026-06-10,Organization_Information,2296,UPDATED,harmonized_name,Leaders’ Debates Commission,,,
2026-06-10,Organization_Information,2296,UPDATED,nom_harmonise,Commission des débats des chefs,,,
2026-06-10,Organization_Information,2296,UPDATED,legal_title,Leaders’ Debates Commission,Leaders' Debates Commission,,
2026-06-10,Organization_Information,2296,UPDATED,appellation_legale,Commission des débats des chefs,,,
2026-06-10,Organization_Information,2296,UPDATED,lead_department,Privy Council Office,,,
2026-06-10,Organization_Information,2296,UPDATED,ministere_responsable,Bureau du Conseil privé,,,
2026-06-10,Organization_Information,2296,UPDATED,FAA_LGFP,,1.1,,
2026-06-10,Organization_Information,2296,UPDATED,status_statut,a,,,
2026-06-10,Organization_Information,3423,UPDATED,harmonized_name,"The Director, The Veterans’ Land Act",,,
2026-06-10,Organization_Information,3423,UPDATED,nom_harmonise,Directeur des terres destinées aux anciens combattants,,,
2026-06-10,Organization_Information,3423,UPDATED,legal_title,"The Director, The Veterans’ Land Act","The Director, The Veterans' Land Act",,
2026-06-10,Organization_Information,3423,UPDATED,appellation_legale,Directeur des terres destinées aux anciens combattants,,,
